# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
  1 42 1.23442
  2 42 0.699032
  3 42 4.11779
  4 42 1.80268
  5 42 0.0920486
  6 42 -0.587578
  7 42 -0.103676
  8 42 1.23593
  9 42 -2.58634
  10 42 -0.0140596
  11 42 1.94778
  12 42 -1.38359
  13 42 -0.59268
  14 42 -0.333557
  15 42 -2.18044
  16 42 0.0399301
  17 42 -0.552203
  18 42 2.621
  19 42 0.813884
  20 42 0.256014
14100 20 840
  1 42 0.652118
  2 42 1.27175
  3 42 2.61424
  4 42 -3.93171
  5 42 -1.96613
  6 42 -0.403819
  7 42 -2.06103
  8 42 0.459681
  9 42 -0.0658712
  10 42 0.158668
  11 42 -1.10161
  12 42 1.07694
  13 42 -0.421767
  14 42 0.89406
  15 42 1.05301
  16 42 0.492521
  17 42 -0.452142
  18 42 0.601096
  19 42 -1.11067
  20 42 -3.6194
14200 20 840
  1 42 -0.153648
  2 42 3.53411
  3 42 4.66311
  4 42 -3.46131
  5 42 -2.49021
  6 42 -1.71341
  7 42 -2.40268
  8 42 1.17811
  9 42 -2.08771
  10 42 1.39079
  11 42 0.827016
  12 42 -2.30563
  13 42 -0.290498
  14 42 1.59367
  15 42 1.2801
  16 42 -1.06162
  17 42 0.161078
  18 42 -5.34167
  19 42 2.40949
  20 42 1.85379
14300 20 840
  1 42 1.6906
  2 42 -0.112732
  3 42 1.79437
  4 42 -2.02903
  5 42 3.98356
  6 42 -1.64773
  7 42 0.868544
  8 42 -2.78893
  9 42 -0.424629
  10 42 -3.1737
  11 42 1.37554
  12 42 -2.89111
  13 42 -0.834861
  14 42 0.957087
  15 42 0.805199
  16 42 -0.544149
  17 42 -1.97853
  18 42 -3.18571
  19 42 1.40552
  20 42 -1.25365
14400 20 840
  1 42 -2.18231
  2 42 1.20488
  3 42 0.578177
  4 42 1.39829
  5 42 -2.62905
  6 42 -0.113302
  7 42 -3.22682
  8 42 -1.5558
  9 42 -3.98838
  10 42 -3.07523
  11 42 2.62588
  12 42 2.1679
  13 42 0.826116
  14 42 1.62003
  15 42 2.43985
  16 42 -0.229987
  17 42 -0.319524
  18 42 -4.60878
  19 42 -2.15394
  20 42 -0.621688
14500 20 840
  1 42 -2.77685
  2 42 0.0418818
  3 42 -3.0415
  4 42 2.30572
  5 42 -4.51054
  6 42 -0.164413
  7 42 -0.12156
  8 42 0.337646
  9 42 -4.05531
  10 42 1.01137
  11 42 0.0127512
  12 42 0.191241
  13 42 -2.91014
  14 42 0.616393
  15 42 2.507
  16 42 2.62166
  17 42 -4.07183
  18 42 -2.22703
  19 42 -0.489487
  20 42 2.75101
14600 20 840
  1 42 -2.21267
  2 42 -2.16718
  3 42 0.84706
  4 42 0.0831126
  5 42 0.283188
  6 42 -2.77828
  7 42 -2.94649
  8 42 0.26436
  9 42 2.57421
  10 42 1.62955
  11 42 3.15804
  12 42 0.131004
  13 42 2.17906
  14 42 -1.37357
  15 42 -2.04793
  16 42 3.86418
  17 42 -2.43889
  18 42 -1.77201
  19 42 -0.495797
  20 42 -0.379698
14700 20 840
  1 42 0.450201
  2 42 1.35198
  3 42 1.52476
  4 42 0.256151
  5 42 1.71494
  6 42 -0.533131
  7 42 -0.881212
  8 42 0.0430211
  9 42 -2.85567
  10 42 -3.22445
  11 42 -1.07461
  12 42 2.96613
  13 42 2.10915
  14 42 -0.292678
  15 42 0.220415
  16 42 0.986748
  17 42 0.277642
  18 42 -1.8562
  19 42 0.914568
  20 42 0.485312
14800 20 840
  1 42 -0.499308
  2 42 1.03582
  3 42 1.8375
  4 42 2.26756
  5 42 -0.0846513
  6 42 2.76147
  7 42 3.94524
  8 42 1.3866
  9 42 2.04184
  10 42 0.132852
  11 42 -0.523241
  12 42 0.725467
  13 42 2.73919
  14 42 2.07082
  15 42 -0.260454
  16 42 -0.344841
  17 42 1.03414
  18 42 -0.0658627
  19 42 1.36158
  20 42 3.19531
14900 20 840
  1 42 0.648181
  2 42 3.8415
  3 42 -2.47908
  4 42 0.361508
  5 42 0.265895
  6 42 2.28665
  7 42 -0.242419
  8 42 -0.850784
  9 42 2.75277
  10 42 -0.871536
  11 42 1.51834
  12 42 0.247542
  13 42 -0.771242
  14 42 0.362952
  15 42 0.178073
  16 42 2.70698
  17 42 -0.945251
  18 42 -0.542621
  19 42 -4.90668
  20 42 0.334968
15000 20 840
  1 42 3.43629
  2 42 -0.121978
  3 42 -1.28105
  4 42 -1.32403
  5 42 -1.9894
  6 42 0.165924
  7 42 2.56294
  8 42 0.0394531
  9 42 2.74808
  10 42 -0.819991
  11 42 -0.955443
  12 42 -0.535302
  13 42 -1.60471
  14 42 -0.941808
  15 42 -2.81836
  16 42 -0.187619
  17 42 0.0105288
  18 42 1.25978
  19 42 0.568131
  20 42 -0.903546
15100 20 840
  1 42 0.27695
  2 42 0.628162
  3 42 0.365317
  4 42 -2.54135
  5 42 3.64314
  6 42 2.16238
  7 42 0.230204
  8 42 1.39336
  9 42 -2.37424
  10 42 -1.09532
  11 42 0.813218
  12 42 0.112983
  13 42 4.44604
  14 42 1.57069
  15 42 -3.41527
  16 42 2.47054
  17 42 2.69883
  18 42 2.17258
  19 42 0.786111
  20 42 3.12008
15200 20 840
  1 42 3.83535
  2 42 -0.270722
  3 42 2.31676
  4 42 4.30217
  5 42 -1.42094
  6 42 2.54329
  7 42 -1.62322
  8 42 -0.315257
  9 42 -0.921776
  10 42 -1.69972
  11 42 2.76318
  12 42 0.989941
  13 42 -2.15197
  14 42 -1.86227
  15 42 1.96653
  16 42 -1.91049
  17 42 -2.398
  18 42 0.299858
  19 42 -0.382915
  20 42 1.09909
15300 20 840
  1 42 0.888066
  2 42 -0.740638
  3 42 7.28616
  4 42 1.07577
  5 42 1.47774
  6 42 -0.760671
  7 42 -2.6727
  8 42 0.884939
  9 42 -2.60545
  10 42 -0.403731
  11 42 -0.19952
  12 42 -2.24188
  13 42 1.7917
  14 42 -3.47822
  15 42 -0.0918121
  16 42 -0.202901
  17 42 0.13066
  18 42 1.10295
  19 42 0.12663
  20 42 1.43337
15400 20 840
  1 42 2.57701
  2 42 1.83331
  3 42 2.29532
  4 42 2.35215
  5 42 -1.85417
  6 42 1.29563
  7 42 -0.599917
  8 42 -1.20841
  9 42 -1.28992
  10 42 -2.79232
  11 42 1.57863
  12 42 -2.04794
  13 42 -0.0693127
  14 42 -0.629241
  15 42 0.906301
  16 42 -1.66199
  17 42 -0.791577
  18 42 -1.63245
  19 42 -2.45833
  20 42 2.53344
15500 20 840
  1 42 0.121371
  2 42 -3.82649
  3 42 2.04845
  4 42 -1.71349
  5 42 -0.704674
  6 42 -3.10132
  7 42 3.50976
  8 42 1.51287
  9 42 0.337734
  10 42 -1.558
  11 42 -0.445297
  12 42 0.148565
  13 42 -1.62504
  14 42 1.30652
  15 42 -3.54349
  16 42 -0.541071
  17 42 -1.07225
  18 42 -0.860394
  19 42 -2.0417
  20 42 -2.52694
15600 20 840
  1 42 3.7142
  2 42 -3.9648
  3 42 -3.55636
  4 42 -1.23443
  5 42 2.5132
  6 42 1.22895
  7 42 -0.92663
  8 42 0.578565
  9 42 0.704562
  10 42 -1.83523
  11 42 3.38278
  12 42 0.295603
  13 42 2.09713
  14 42 1.78438
  15 42 -0.87645
  16 42 -3.33879
  17 42 1.81403
  18 42 -0.714278
  19 42 1.83259
  20 42 -5.54067
15700 20 840
  1 42 -2.58134
  2 42 0.443908
  3 42 3.24939
  4 42 0.0657514
  5 42 -1.3088
  6 42 -0.434031
  7 42 2.46751
  8 42 2.94373
  9 42 -3.33727
  10 42 -0.606865
  11 42 -1.21289
  12 42 -1.52115
  13 42 0.148178
  14 42 1.35146
  15 42 0.542587
  16 42 -0.415609
  17 42 0.316742
  18 42 0.463267
  19 42 -3.48446
  20 42 -1.40532
15800 20 840
  1 42 -1.68771
  2 42 -1.43995
  3 42 0.00884855
  4 42 -0.577659
  5 42 -2.47946
  6 42 -1.16826
  7 42 1.07801
  8 42 5.69316
  9 42 -3.25203
  10 42 1.56409
  11 42 1.46861
  12 42 1.69543
  13 42 -0.698159
  14 42 -0.476687
  15 42 -1.0863
  16 42 -0.390112
  17 42 0.705007
  18 42 -1.5204
  19 42 0.947347
  20 42 -0.234719
15900 20 840
  1 42 1.6705
  2 42 -0.248262
  3 42 2.60998
  4 42 -1.48593
  5 42 -4.26429
  6 42 -2.37359
  7 42 2.04048
  8 42 0.956159
  9 42 0.880092
  10 42 0.755843
  11 42 4.50606
  12 42 3.64266
  13 42 0.737205
  14 42 -1.60301
  15 42 -0.426029
  16 42 2.59031
  17 42 -1.2911
  18 42 0.839291
  19 42 -0.181787
  20 42 -1.4004
16000 20 840
  1 42 -1.70955
  2 42 0.810333
  3 42 -2.01276
  4 42 2.04807
  5 42 -2.92727
  6 42 1.7444
  7 42 -0.579635
  8 42 1.74081
  9 42 0.169364
  10 42 0.837379
  11 42 -1.37934
  12 42 0.350797
  13 42 0.935301
  14 42 0.258616
  15 42 1.7558
  16 42 0.565936
  17 42 -0.235591
  18 42 -3.38325
  19 42 -0.410458
  20 42 3.61116
16100 20 840
  1 42 0.390816
  2 42 -0.668556
  3 42 1.70831
  4 42 0.0945774
  5 42 0.00920326
  6 42 0.909868
  7 42 -2.37159
  8 42 1.47795
  9 42 5.386
  10 42 -0.224861
  11 42 0.788122
  12 42 3.53736
  13 42 0.683322
  14 42 1.66435
  15 42 -0.773068
  16 42 1.64788
  17 42 -0.221635
  18 42 2.95327
  19 42 3.21263
  20 42 2.20216
16200 20 840
  1 42 1.97858
  2 42 -1.02783
  3 42 -1.25083
  4 42 -2.79732
  5 42 -0.111113
  6 42 -1.63891
  7 42 3.13885
  8 42 1.81658
  9 42 0.723075
  10 42 -1.20861
  11 42 0.161672
  12 42 4.88347
  13 42 -0.227033
  14 42 -0.0173359
  15 42 0.406782
  16 42 -0.12775
  17 42 4.42
  18 42 -4.03761
  19 42 -2.76742
  20 42 1.13326
16300 20 840
  1 42 1.53806
  2 42 2.7332
  3 42 2.80441
  4 42 -1.33442
  5 42 -2.0065
  6 42 0.992963
  7 42 2.3213
  8 42 -0.855616
  9 42 1.44762
  10 42 -1.05159
  11 42 0.160057
  12 42 -1.36789
  13 42 -2.0229
  14 42 -0.20954
  15 42 0.584053
  16 42 -0.913445
  17 42 0.880372
  18 42 2.81826
  19 42 -3.56162
  20 42 2.71226
16400 20 840
  1 42 2.09632
  2 42 0.708573
  3 42 -0.623994
  4 42 -2.264
  5 42 0.391903
  6 42 -1.4794
  7 42 -0.284491
  8 42 0.684134
  9 42 3.02652
  10 42 1.60785
  11 42 -1.22575
  12 42 -1.69612
  13 42 2.19963
  14 42 -0.187199
  15 42 -2.02549
  16 42 -0.803228
  17 42 2.03259
  18 42 1.80149
  19 42 -0.49704
  20 42 1.62193
16500 20 840
  1 42 2.62922
  2 42 -0.714391
  3 42 4.21671
  4 42 0.710571
  5 42 0.376407
  6 42 0.359389
  7 42 0.152956
  8 42 2.41575
  9 42 -1.46234
  10 42 -1.24665
  11 42 0.886279
  12 42 2.85148
  13 42 1.67502
  14 42 0.474887
  15 42 -1.12538
  16 42 -1.73914
  17 42 1.39598
  18 42 3.18187
  19 42 2.54741
  20 42 -1.87194
16600 20 840
  1 42 -0.64518
  2 42 -0.448988
  3 42 3.08603
  4 42 -3.04185
  5 42 0.0429543
  6 42 0.58195
  7 42 -3.00284
  8 42 0.200302
  9 42 -3.1734
  10 42 -0.761929
  11 42 -2.87091
  12 42 -0.925429
  13 42 -0.214598
  14 42 -0.75
  15 42 -1.56183
  16 42 -2.3436
  17 42 4.33666
  18 42 0.789961
  19 42 2.68453
  20 42 -0.288032
16700 20 840
  1 42 0.984163
  2 42 -0.742885
  3 42 -0.344398
  4 42 2.13579
  5 42 1.66505
  6 42 -1.53175
  7 42 0.156142
  8 42 -0.335116
  9 42 -0.918362
  10 42 0.025509
  11 42 0.149232
  12 42 -1.56655
  13 42 -0.555591
  14 42 -2.70523
  15 42 -0.254379
  16 42 -0.177685
  17 42 1.66069
  18 42 0.214866
  19 42 0.0267319
  20 42 2.2705
16800 20 840
  1 42 1.78401
  2 42 -3.9562
  3 42 -3.65084
  4 42 3.31995
  5 42 1.63108
  6 42 -2.66972
  7 42 1.57786
  8 42 -3.30923
  9 42 -1.94257
  10 42 0.750515
  11 42 1.22699
  12 42 -2.32295
  13 42 -1.59569
  14 42 -1.8051
  15 42 -1.51525
  16 42 2.83126
  17 42 -2.54034
  18 42 1.05472
  19 42 -3.41793
  20 42 -0.767723
16900 20 840
  1 42 -1.61857
  2 42 1.68488
  3 42 0.192118
  4 42 -1.05349
  5 42 -1.14947
  6 42 2.36075
  7 42 -1.53224
  8 42 3.3528
  9 42 -5.45492
  10 42 0.143704
  11 42 0.14884
  12 42 -0.176498
  13 42 1.52197
  14 42 1.81965
  15 42 -2.3649
  16 42 1.61282
  17 42 0.0923732
  18 42 1.69031
  19 42 -0.481983
  20 42 0.47238
17000 20 840
  1 42 -0.790414
  2 42 -0.804461
  3 42 0.838062
  4 42 1.20261
  5 42 -1.21267
  6 42 1.9542
  7 42 0.14792
  8 42 1.72409
  9 42 -1.07545
  10 42 -1.17866
  11 42 0.670346
  12 42 0.681379
  13 42 -3.1666
  14 42 -0.783002
  15 42 -0.296318
  16 42 -0.0168697
  17 42 -3.49797
  18 42 -1.18361
  19 42 -0.121176
  20 42 -4.97866
17100 20 840
  1 42 -0.770936
  2 42 -1.50905
  3 42 2.98409
  4 42 -1.38631
  5 42 4.39954
  6 42 -1.53152
  7 42 -2.25092
  8 42 2.7721
  9 42 1.30383
  10 42 2.2429
  11 42 -1.88137
  12 42 0.951874
  13 42 2.39788
  14 42 -1.11951
  15 42 -3.51247
  16 42 0.393012
  17 42 -0.818614
  18 42 1.41518
  19 42 1.90807
  20 42 -2.34342
17200 20 840
  1 42 1.99615
  2 42 1.77291
  3 42 -2.58333
  4 42 0.253009
  5 42 -2.70399
  6 42 -0.123727
  7 42 0.859811
  8 42 0.513706
  9 42 -1.53606
  10 42 1.95834
  11 42 2.02597
  12 42 -0.447501
  13 42 -1.326
  14 42 0.896714
  15 42 0.0821442
  16 42 1.03909
  17 42 1.64762
  18 42 1.5386
  19 42 -1.21252
  20 42 0.761154
17300 20 840
  1 42 -4.60074
  2 42 1.03493
  3 42 -1.04769
  4 42 0.595286
  5 42 -2.39884
  6 42 2.18131
  7 42 0.957254
  8 42 0.636995
  9 42 -1.55628
  10 42 0.716927
  11 42 1.55229
  12 42 1.49628
  13 42 -1.27418
  14 42 1.80007
  15 42 2.59088
  16 42 1.99231
  17 42 0.680607
  18 42 -2.54502
  19 42 0.909505
  20 42 2.89054
17400 20 840
  1 42 -1.98098
  2 42 -0.377609
  3 42 -4.37248
  4 42 2.95976
  5 42 -1.59992
  6 42 -3.1451
  7 42 -1.96088
  8 42 -1.33884
  9 42 1.44945
  10 42 -1.11125
  11 42 -0.347993
  12 42 0.567839
  13 42 -0.929008
  14 42 -0.392058
  15 42 -1.80524
  16 42 4.32637
  17 42 -1.54796
  18 42 -0.874655
  19 42 1.36247
  20 42 2.56863
17500 20 840
  1 42 1.83101
  2 42 0.842477
  3 42 1.22706
  4 42 0.483919
  5 42 -1.97109
  6 42 -0.867632
  7 42 0.708738
  8 42 0.66464
  9 42 -1.78293
  10 42 1.04062
  11 42 -2.78092
  12 42 0.378731
  13 42 -0.416133
  14 42 1.72281
  15 42 -0.229156
  16 42 0.674295
  17 42 -2.62322
  18 42 -2.81772
  19 42 -0.825213
  20 42 3.11072
17600 20 840
  1 42 -0.730147
  2 42 -0.226297
  3 42 -3.82529
  4 42 -0.701656
  5 42 3.244
  6 42 -1.33355
  7 42 -1.37085
  8 42 -1.08538
  9 42 -2.76415
  10 42 -1.15306
  11 42 -0.453769
  12 42 0.507305
  13 42 0.112734
  14 42 1.41671
  15 42 0.0440555
  16 42 0.243274
  17 42 1.07251
  18 42 1.44077
  19 42 -1.77704
  20 42 0.746442
17700 20 840
  1 42 0.980628
  2 42 3.22412
  3 42 2.36818
  4 42 -0.999583
  5 42 1.80345
  6 42 -0.663677
  7 42 -0.501761
  8 42 -2.56365
  9 42 -2.27647
  10 42 -1.09277
  11 42 -0.572108
  12 42 0.482816
  13 42 -1.99103
  14 42 -0.952866
  15 42 1.54599
  16 42 -3.22899
  17 42 -0.661356
  18 42 -2.93199
  19 42 -0.597957
  20 42 0.126785
17800 20 840
  1 42 1.29532
  2 42 3.52605
  3 42 -0.127555
  4 42 0.131901
  5 42 1.29379
  6 42 1.6844
  7 42 0.921599
  8 42 -1.23655
  9 42 -1.97511
  10 42 -1.86694
  11 42 -6.59983
  12 42 -1.88404
  13 42 0.65532
  14 42 -0.606402
  15 42 1.80487
  16 42 0.10539
  17 42 -0.209561
  18 42 -0.72132
  19 42 0.0296954
  20 42 -0.0169563
17900 20 840
  1 42 -1.65049
  2 42 3.14145
  3 42 -1.35891
  4 42 -2.08134
  5 42 0.430715
  6 42 -1.4585
  7 42 -2.24445
  8 42 -1.39418
  9 42 -0.13965
  10 42 -2.96462
  11 42 -1.84808
  12 42 0.137014
  13 42 -0.109351
  14 42 0.0248104
  15 42 -0.373865
  16 42 0.382485
  17 42 -1.55477
  18 42 -1.88293
  19 42 1.62542
  20 42 0.568808
18000 20 840
  1 42 1.7194
  2 42 -4.65953
  3 42 -0.852567
  4 42 0.695073
  5 42 0.326709
  6 42 -2.0484
  7 42 -1.35694
  8 42 -0.219099
  9 42 -1.78385
  10 42 -2.1318
  11 42 0.337371
  12 42 0.745871
  13 42 -1.39142
  14 42 -0.478833
  15 42 -3.72384
  16 42 -1.4983
  17 42 1.81604
  18 42 -0.494298
  19 42 1.42703
  20 42 -2.4159
18100 20 840
  1 42 0.319926
  2 42 -1.36879
  3 42 -3.18495
  4 42 3.09077
  5 42 2.04626
  6 42 0.487059
  7 42 0.355585
  8 42 -0.226458
  9 42 -1.81751
  10 42 -1.61456
  11 42 -2.19873
  12 42 -0.752507
  13 42 0.844772
  14 42 1.04107
  15 42 -0.916547
  16 42 -0.611643
  17 42 0.807707
  18 42 2.06691
  19 42 -0.510166
  20 42 -1.09936
18200 20 840
  1 42 -1.74826
  2 42 -1.93393
  3 42 2.49515
  4 42 2.0452
  5 42 -2.87199
  6 42 0.202877
  7 42 0.0916645
  8 42 2.78392
  9 42 -2.14168
  10 42 2.27925
  11 42 -1.85506
  12 42 -1.19342
  13 42 -1.38136
  14 42 0.0621806
  15 42 -3.44165
  16 42 2.66327
  17 42 -1.84895
  18 42 2.89215
  19 42 -4.30192
  20 42 3.93796
18300 20 840
  1 42 1.65931
  2 42 -0.750456
  3 42 -4.19606
  4 42 1.11835
  5 42 -2.95738
  6 42 0.143178
  7 42 -0.778656
  8 42 3.14615
  9 42 -3.21274
  10 42 0.561612
  11 42 2.98577
  12 42 0.717073
  13 42 0.351762
  14 42 -0.981837
  15 42 -0.812802
  16 42 1.69345
  17 42 -0.211291
  18 42 -1.19153
  19 42 -1.42361
  20 42 -0.911932
18400 20 840
  1 42 2.43809
  2 42 1.71119
  3 42 1.15589
  4 42 -1.87654
  5 42 0.5918
  6 42 0.119105
  7 42 0.216535
  8 42 0.585457
  9 42 -1.51149
  10 42 -2.43903
  11 42 1.55024
  12 42 -1.59663
  13 42 1.61037
  14 42 -0.0268788
  15 42 -4.05827
  16 42 -0.779768
  17 42 -3.23324
  18 42 -0.0630862
  19 42 0.0968603
  20 42 -0.319936
18500 20 840
  1 42 -0.148093
  2 42 0.48932
  3 42 -1.96119
  4 42 1.26778
  5 42 -1.14921
  6 42 2.95706
  7 42 -0.872527
  8 42 2.3792
  9 42 3.10695
  10 42 -0.981806
  11 42 -4.47974
  12 42 0.113391
  13 42 0.598348
  14 42 0.667806
  15 42 -0.205138
  16 42 -4.75857
  17 42 -0.823054
  18 42 -1.55652
  19 42 -0.856129
  20 42 -1.55901
18600 20 840
  1 42 1.73305
  2 42 -2.21381
  3 42 -1.17563
  4 42 -0.506708
  5 42 -1.61926
  6 42 -1.22391
  7 42 1.68906
  8 42 0.657925
  9 42 2.83673
  10 42 0.492174
  11 42 3.2123
  12 42 1.88937
  13 42 -0.209381
  14 42 1.91464
  15 42 2.29903
  16 42 -0.737315
  17 42 -2.45979
  18 42 -1.58274
  19 42 3.17637
  20 42 -0.544548
18700 20 840
  1 42 -0.349725
  2 42 -0.957765
  3 42 -2.05922
  4 42 -1.04022
  5 42 -3.0642
  6 42 -0.284263
  7 42 4.50391
  8 42 0.0794949
  9 42 -4.38664
  10 42 0.748356
  11 42 -0.842442
  12 42 -2.83993
  13 42 -1.09725
  14 42 0.014138
  15 42 1.20363
  16 42 0.224558
  17 42 0.513897
  18 42 -1.23733
  19 42 -1.96007
  20 42 2.67993
18800 20 840
  1 42 -0.342987
  2 42 -0.691501
  3 42 0.861827
  4 42 1.00439
  5 42 -2.64986
  6 42 -1.81521
  7 42 -1.13331
  8 42 -0.831759
  9 42 -0.899949
  10 42 -1.96699
  11 42 0.154167
  12 42 -1.12553
  13 42 -0.93431
  14 42 1.02633
  15 42 1.67952
  16 42 -0.238928
  17 42 -1.09271
  18 42 -2.75334
  19 42 0.466498
  20 42 0.878169
18900 20 840
  1 42 -0.950734
  2 42 -1.53246
  3 42 -0.0297538
  4 42 1.38725
  5 42 1.6716
  6 42 -2.67932
  7 42 -2.22215
  8 42 1.69541
  9 42 0.0679183
  10 42 0.595359
  11 42 0.0958764
  12 42 1.19503
  13 42 2.80834
  14 42 1.35337
  15 42 0.253005
  16 42 -2.61901
  17 42 -1.87206
  18 42 -0.783751
  19 42 0.0488832
  20 42 2.19085
19000 20 840
  1 42 0.292171
  2 42 -0.476606
  3 42 3.62242
  4 42 0.461906
  5 42 -2.99953
  6 42 -0.954133
  7 42 -2.26487
  8 42 2.10925
  9 42 -0.211057
  10 42 -0.138476
  11 42 -2.58372
  12 42 -1.27168
  13 42 -1.12124
  14 42 1.91626
  15 42 -0.451747
  16 42 0.577322
  17 42 -1.96607
  18 42 -1.93714
  19 42 -3.96871
  20 42 0.969219
19100 20 840
  1 42 -0.846807
  2 42 0.119557
  3 42 -0.726669
  4 42 -3.20618
  5 42 1.98115
  6 42 1.88708
  7 42 -1.81446
  8 42 -0.239316
  9 42 1.86738
  10 42 -0.154802
  11 42 -3.45752
  12 42 -0.972009
  13 42 -1.85956
  14 42 -0.131117
  15 42 1.89733
  16 42 -1.75188
  17 42 2.89627
  18 42 -2.09092
  19 42 -3.00453
  20 42 -0.498066
19200 20 840
  1 42 0.617216
  2 42 -1.32333
  3 42 -1.07782
  4 42 -1.40299
  5 42 2.00721
  6 42 -1.86923
  7 42 3.58991
  8 42 0.325619
  9 42 1.85468
  10 42 -3.39004
  11 42 -1.86949
  12 42 0.359273
  13 42 2.06172
  14 42 -0.229301
  15 42 -2.42832
  16 42 1.35597
  17 42 1.17102
  18 42 -0.17366
  19 42 1.51264
  20 42 -0.8203
19300 20 840
  1 42 1.26324
  2 42 -0.131011
  3 42 -2.98321
  4 42 -0.390634
  5 42 1.00626
  6 42 3.26689
  7 42 1.86423
  8 42 0.121975
  9 42 -1.89161
  10 42 -3.38153
  11 42 -0.197879
  12 42 -1.84187
  13 42 0.791408
  14 42 0.575936
  15 42 -0.608541
  16 42 2.21816
  17 42 -2.09087
  18 42 -1.21326
  19 42 -1.15683
  20 42 -1.40355
19400 20 840
  1 42 -0.738358
  2 42 0.190459
  3 42 -1.5662
  4 42 -0.691193
  5 42 1.68516
  6 42 1.64834
  7 42 -1.51208
  8 42 1.06845
  9 42 1.81643
  10 42 -0.635849
  11 42 -0.316003
  12 42 0.674329
  13 42 0.796592
  14 42 -0.0918202
  15 42 0.839504
  16 42 0.698565
  17 42 -0.964537
  18 42 2.86332
  19 42 4.40416
  20 42 -1.46969
19500 20 840
  1 42 -2.38456
  2 42 -3.25131
  3 42 0.648953
  4 42 -0.170057
  5 42 -0.153602
  6 42 -0.578806
  7 42 -0.702326
  8 42 0.686953
  9 42 -0.131137
  10 42 -0.367231
  11 42 0.445106
  12 42 0.142228
  13 42 0.119396
  14 42 -2.83725
  15 42 -1.11092
  16 42 1.9921
  17 42 -0.406183
  18 42 -0.0552387
  19 42 -0.806791
  20 42 1.13653
19600 20 840
  1 42 3.9154
  2 42 -0.511809
  3 42 1.88379
  4 42 -0.20746
  5 42 -1.50252
  6 42 1.00215
  7 42 -1.59693
  8 42 1.57515
  9 42 -0.425589
  10 42 0.592865
  11 42 1.66948
  12 42 0.463417
  13 42 1.86351
  14 42 -0.735904
  15 42 -2.40389
  16 42 2.17123
  17 42 0.400185
  18 42 2.72889
  19 42 -1.5897
  20 42 2.14264
19700 20 840
  1 42 2.21524
  2 42 0.777373
  3 42 0.934416
  4 42 -3.53183
  5 42 0.271678
  6 42 1.0041
  7 42 1.48436
  8 42 0.828169
  9 42 3.12459
  10 42 -0.590046
  11 42 5.27813
  12 42 -2.07339
  13 42 1.94983
  14 42 0.138468
  15 42 0.445266
  16 42 4.60456
  17 42 0.67984
  18 42 0.309513
  19 42 -2.105
  20 42 3.23736
19800 20 840
  1 42 2.02651
  2 42 -1.36496
  3 42 1.89345
  4 42 -0.657275
  5 42 0.799485
  6 42 2.27924
  7 42 -1.48992
  8 42 -0.754956
  9 42 1.42111
  10 42 -2.08818
  11 42 1.1784
  12 42 -0.583863
  13 42 0.473939
  14 42 1.98946
  15 42 0.828527
  16 42 -1.04576
  17 42 0.257532
  18 42 -1.40883
  19 42 0.139644
  20 42 -0.0493812
19900 20 840
  1 42 1.94271
  2 42 0.18128
  3 42 -1.58386
  4 42 -1.60919
  5 42 -1.19223
  6 42 -1.78257
  7 42 -1.71057
  8 42 0.299938
  9 42 1.9093
  10 42 -1.56872
  11 42 1.5014
  12 42 0.0808094
  13 42 1.6139
  14 42 2.51131
  15 42 -1.43911
  16 42 0.102433
  17 42 0.861647
  18 42 -0.340375
  19 42 -0.248525
  20 42 -2.26965
20000 20 840
  1 42 2.05427
  2 42 -2.1847
  3 42 -0.598103
  4 42 -2.78557
  5 42 -1.80403
  6 42 0.497043
  7 42 4.61075
  8 42 -0.286369
  9 42 -1.61047
  10 42 1.53175
  11 42 1.11604
  12 42 0.388536
  13 42 -0.631781
  14 42 -0.00506216
  15 42 -0.747585
  16 42 -2.23361
  17 42 -2.51283
  18 42 -0.293752
  19 42 0.322117
  20 42 -1.37654
20100 20 840
  1 42 -1.88171
  2 42 -0.577154
  3 42 -4.86459
  4 42 0.673602
  5 42 0.561268
  6 42 2.09468
  7 42 -1.18652
  8 42 -2.16543
  9 42 -0.212243
  10 42 -0.119273
  11 42 2.39927
  12 42 0.0621834
  13 42 1.7193
  14 42 -0.609391
  15 42 2.83387
  16 42 1.19107
  17 42 0.845754
  18 42 -1.20075
  19 42 0.836983
  20 42 -0.8968
20200 20 840
  1 42 0.51428
  2 42 2.86858
  3 42 1.66652
  4 42 -0.459272
  5 42 1.30654
  6 42 0.131392
  7 42 0.0176374
  8 42 0.0532797
  9 42 -3.00539
  10 42 2.1249
  11 42 -0.698433
  12 42 0.118196
  13 42 0.700075
  14 42 0.0717699
  15 42 1.9911
  16 42 -0.215193
  17 42 -0.878314
  18 42 -1.81168
  19 42 5.67026
  20 42 2.02169
20300 20 840
  1 42 -0.787833
  2 42 -0.737557
  3 42 0.693609
  4 42 0.289699
  5 42 -0.518845
  6 42 2.27218
  7 42 -0.0675871
  8 42 1.45932
  9 42 -1.5683
  10 42 -1.17558
  11 42 -1.97982
  12 42 1.22418
  13 42 -0.475559
  14 42 -0.509346
  15 42 -1.10076
  16 42 2.10761
  17 42 -0.269206
  18 42 -1.90875
  19 42 -0.275218
  20 42 -1.70402
20400 20 840
  1 42 -3.14212
