# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  3 42 -0.445257
  4 42 0.621014
  5 42 -0.624632
  6 42 -0.504059
  7 42 0.769139
  8 42 -0.783644
  9 42 -0.0837464
  10 42 -1.6214
  11 42 0.659452
  12 42 -0.196656
  13 42 -0.945453
  14 42 -0.871235
  15 42 0.915174
  16 42 -0.627021
  17 42 -0.37651
  18 42 -0.699513
  19 42 -1.00313
  20 42 -1.89675
1500 20 840
  1 42 -0.644187
  2 42 -0.582316
  3 42 -1.54611
  4 42 -0.388344
  5 42 0.269482
  6 42 -0.975973
  7 42 -0.0613365
  8 42 0.467028
  9 42 -0.416384
  10 42 1.07814
  11 42 -1.05536
  12 42 0.562253
  13 42 0.662755
  14 42 -0.0167747
  15 42 0.454533
  16 42 -0.321009
  17 42 -0.109397
  18 42 -1.32864
  19 42 -0.31521
  20 42 0.149118
1600 20 840
  1 42 0.741964
  2 42 0.0049545
  3 42 0.0494561
  4 42 -0.53125
  5 42 0.247802
  6 42 -2.21629
  7 42 1.75541
  8 42 0.725837
  9 42 1.96291
  10 42 0.178175
  11 42 -0.149379
  12 42 -0.700033
  13 42 0.355851
  14 42 -0.453126
  15 42 -0.957414
  16 42 -0.065538
  17 42 -1.05362
  18 42 -1.8327
  19 42 -2.02985
  20 42 1.23039
1700 20 840
  1 42 0.809654
  2 42 -1.53835
  3 42 0.919926
  4 42 1.16353
  5 42 -0.591254
  6 42 -0.937874
  7 42 0.0888706
  8 42 0.190506
  9 42 -0.726988
  10 42 -1.88258
  11 42 1.65491
  12 42 0.893437
  13 42 -0.275969
  14 42 0.188995
  15 42 1.22246
  16 42 0.0568098
  17 42 0.348578
  18 42 0.0128947
  19 42 -1.98764
  20 42 -0.62021
1800 20 840
  1 42 0.687816
  2 42 -0.214205
  3 42 -0.0151925
  4 42 -0.00464631
  5 42 -0.555417
  6 42 0.313712
  7 42 -0.490308
  8 42 -1.09033
  9 42 0.309085
