# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  8 42 1.96793
  9 42 -2.50444
  10 42 -0.11012
  11 42 1.48146
  12 42 0.399192
  13 42 -1.48038
  14 42 -2.21532
  15 42 2.19309
  16 42 -0.443476
  17 42 -1.46565
  18 42 -0.991622
  19 42 1.87653
  20 42 -1.36659
1500 20 840
  1 42 0.394347
  2 42 0.9476
  3 42 -1.48314
  4 42 -1.68365
  5 42 -0.0990285
  6 42 1.84829
  7 42 -1.34945
  8 42 0.21338
  9 42 0.0355405
  10 42 0.180268
  11 42 2.22616
  12 42 -0.317784
  13 42 1.78021
  14 42 2.80347
  15 42 -0.934007
  16 42 -0.314464
  17 42 0.0454071
  18 42 0.0268536
  19 42 0.125488
  20 42 0.952204
1600 20 840
  1 42 -2.00296
  2 42 0.192665
  3 42 -1.88732
  4 42 -0.0149622
  5 42 -1.46449
  6 42 -0.713956
  7 42 0.679769
  8 42 -1.91458
  9 42 -0.542158
  10 42 -0.0493283
  11 42 -0.634581
  12 42 -0.959262
  13 42 0.49483
  14 42 2.07161
  15 42 -0.315299
  16 42 0.405793
  17 42 -2.09679
  18 42 -2.37101
  19 42 -1.7915
  20 42 2.22075
1700 20 840
  1 42 0.730854
  2 42 1.13631
  3 42 0.184778
  4 42 -1.51073
  5 42 -2.27819
  6 42 0.896675
  7 42 0.988862
  8 42 -0.9017
  9 42 -2.4443
  10 42 1.68556
  11 42 -0.905179
  12 42 1.93255
  13 42 2.16261
  14 42 0.121143
  15 42 2.48734
  16 42 1.88374
  17 42 0.94096
  18 42 -1.42305
  19 42 0.645912
  20 42 0.700041
1800 20 840
  1 42 -1.00456
  2 42 -1.92431
  3 42 0.606342
  4 42 -0.350736
  5 42 -0.916984
  6 42 -1.90728
  7 42 0.785424
  8 42 -0.62119
  9 42 1.53276
  10 42 -0.411072
  11 42 -2.72137
  12 42 -0.290228
  13 42 0.773214
  14 42 -0.502817
  15 42 1.61248
  16 42 -2.05688
  17 42 -0.442142
  18 42 0.333897
  19 42 0.420783
  20 42 0.711796
1900 20 840
  1 42 1.05155
  2 42 -0.0545754
  3 42 -0.529712
  4 42 0.173865
  5 42 3.06607
  6 42 -0.101542
  7 42 1.81058
  8 42 -1.24678
  9 42 -1.58992
  10 42 -2.43207
  11 42 -1.4473
  12 42 1.22674
  13 42 -1.51368
  14 42 1.53555
  15 42 -0.676174
  16 42 -1.47164
  17 42 -0.310922
  18 42 -1.46556
  19 42 -0.179379
  20 42 -0.385432
2000 20 840
  1 42 0.843859
  2 42 -0.505366
  3 42 -0.167998
  4 42 1.64051
  5 42 1.22826
  6 42 -0.561381
  7 42 0.0019537
  8 42 0.290474
  9 42 1.40508
  10 42 -1.83325
  11 42 -0.638492
  12 42 -0.0964604
  13 42 -0.660903
  14 42 -0.151042
  15 42 -0.29783
  16 42 1.96953
  17 42 0.672487
  18 42 2.24879
  19 42 -1.77269
  20 42 0.740078
2100 20 840
  1 42 0.385705
  2 42 0.459644
  3 42 1.21854
  4 42 1.3585
  5 42 -0.664691
  6 42 -1.53013
  7 42 -1.53914
  8 42 0.594275
  9 42 -0.30003
  10 42 0.583459
  11 42 1.2065
  12 42 -0.917976
  13 42 -1.7799
  14 42 -1.55768
  15 42 -1.05006
  16 42 -1.87779
  17 42 -0.326619
  18 42 2.20862
  19 42 -2.80987
  20 42 -0.472146
2200 20 840
  1 42 -0.65215
  2 42 -0.470648
  3 42 0.7942
  4 42 0.518746
  5 42 0.604933
  6 42 -0.688857
  7 42 0.51214
  8 42 0.391243
  9 42 -1.06365
  10 42 2.13796
  11 42 -3.95627
  12 42 -2.19676
  13 42 -2.18977
  14 42 0.284086
  15 42 -1.43212
  16 42 -1.29
  17 42 -1.04672
  18 42 -0.185032
  19 42 0.76196
  20 42 0.112341
2300 20 840
  1 42 0.212766
  2 42 0.781542
  3 42 1.34209
  4 42 -0.488934
  5 42 0.258617
  6 42 -0.150146
  7 42 -2.39234
  8 42 -0.776723
  9 42 2.47667
  10 42 1.61147
  11 42 5.12667
  12 42 -0.148383
  13 42 -0.711638
  14 42 1.54119
  15 42 -1.92976
  16 42 0.0704616
  17 42 0.0801844
  18 42 -0.990522
  19 42 -0.126511
  20 42 1.32831
2400 20 840
  1 42 -0.633271
  2 42 1.41633
  3 42 -0.0428161
  4 42 -0.272292
  5 42 1.50721
  6 42 -0.161232
  7 42 0.310496
  8 42 0.26334
  9 42 -0.819238
  10 42 -0.887745
  11 42 -0.0589816
  12 42 -0.275006
  13 42 1.38217
  14 42 -0.103907
  15 42 0.752031
  16 42 0.480665
  17 42 -0.35881
  18 42 -0.71949
  19 42 0.305983
  20 42 -0.638324
2500 20 840
  1 42 0.357678
  2 42 -0.121733
  3 42 0.309377
  4 42 -1.26913
  5 42 -0.965332
  6 42 -0.694431
  7 42 -0.796405
  8 42 -0.503843
  9 42 -0.0518231
  10 42 1.24147
  11 42 -1.65406
  12 42 -0.555273
  13 42 -0.10127
  14 42 -1.02987
  15 42 0.378754
  16 42 0.396613
  17 42 -0.554181
  18 42 -0.028289
  19 42 -1.5002
  20 42 2.14214
2600 20 840
  1 42 2.16097
  2 42 -1.01127
  3 42 0.503169
  4 42 -1.88796
  5 42 0.635001
  6 42 0.981345
  7 42 0.919812
  8 42 -0.0383067
  9 42 -1.44765
  10 42 -2.29967
  11 42 0.628412
  12 42 0.896894
  13 42 0.0637247
  14 42 -0.819485
  15 42 0.694722
  16 42 0.754557
  17 42 -2.75861
  18 42 -0.200888
  19 42 1.68752
  20 42 2.65013
2700 20 840
  1 42 -1.57353
  2 42 -0.0597603
  3 42 -1.29421
  4 42 -0.139768
  5 42 -0.0385541
  6 42 1.99648
  7 42 -0.862469
  8 42 -2.3024
  9 42 -0.177891
  10 42 -0.726379
  11 42 -2.64806
  12 42 1.19763
  13 42 -0.619661
  14 42 -0.162948
  15 42 -1.78682
  16 42 0.103021
  17 42 -2.53069
  18 42 -0.452191
  19 42 -2.06602
  20 42 0.845543
2800 20 840
  1 42 -0.596542
  2 42 -0.536333
  3 42 -1.55103
  4 42 0.549166
  5 42 -2.41762
  6 42 -0.86859
  7 42 1.30808
  8 42 -0.799727
  9 42 -0.984195
  10 42 -0.772073
  11 42 1.76941
  12 42 0.31153
  13 42 -0.932457
  14 42 -0.0282879
  15 42 1.94248
  16 42 0.647855
  17 42 -1.8252
  18 42 -0.997007
  19 42 -0.173181
  20 42 -2.73404
2900 20 840
  1 42 0.521317
  2 42 0.902766
  3 42 0.00584074
  4 42 -2.00832
  5 42 0.615609
  6 42 -0.12484
  7 42 0.468931
  8 42 0.458166
  9 42 0.960777
  10 42 0.359604
  11 42 2.22684
  12 42 -0.902625
  13 42 -0.426302
  14 42 -0.515666
  15 42 -0.428194
  16 42 -0.447252
  17 42 -1.19048
  18 42 0.686063
  19 42 -0.752929
  20 42 -0.9919
3000 20 840
  1 42 -0.195961
  2 42 1.01962
  3 42 -0.335207
  4 42 0.529356
  5 42 1.09751
  6 42 -0.509475
  7 42 -0.989686
  8 42 -1.54914
  9 42 -1.00186
  10 42 1.57319
  11 42 2.02431
  12 42 -0.661437
  13 42 -0.029878
  14 42 1.08169
  15 42 0.07134
  16 42 1.13055
  17 42 -3.17746
  18 42 2.48044
  19 42 -0.39168
  20 42 -0.259495
3100 20 840
  1 42 1.07569
  2 42 -0.548905
  3 42 -0.809556
  4 42 2.10762
