# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  3 42 -1.54283
  4 42 -0.698375
  5 42 0.270366
  6 42 -2.14463
  7 42 -1.48242
  8 42 2.0216
  9 42 -1.99648
  10 42 1.98484
  11 42 -3.40423
  12 42 -3.15138
  13 42 -1.15509
  14 42 -0.876255
  15 42 0.954172
  16 42 1.81244
  17 42 -0.928092
  18 42 -0.833776
  19 42 0.569225
  20 42 3.0592
1500 20 840
  1 42 -0.627101
  2 42 0.46135
  3 42 -1.84833
  4 42 0.143031
  5 42 -0.621875
  6 42 -0.256376
  7 42 0.19597
  8 42 -0.00772697
  9 42 -0.579473
  10 42 0.480783
  11 42 -0.863202
  12 42 -0.140213
  13 42 0.79712
  14 42 -0.0720429
  15 42 -0.729541
  16 42 -0.700334
  17 42 -0.000220329
  18 42 0.475144
  19 42 0.428895
  20 42 2.76219
1600 20 840
  1 42 -0.0301975
  2 42 -0.898235
  3 42 -2.36651
  4 42 0.687262
  5 42 0.947396
  6 42 -0.850652
  7 42 -0.740564
  8 42 0.54921
  9 42 -0.895175
  10 42 0.163246
  11 42 -0.205445
  12 42 -1.37055
  13 42 0.812246
  14 42 -0.735985
  15 42 1.36583
  16 42 0.348842
  17 42 -0.983559
  18 42 -0.616953
  19 42 2.27698
  20 42 -1.87401
1700 20 840
  1 42 -0.261563
  2 42 -0.567412
  3 42 3.75837
  4 42 -0.588719
  5 42 1.93523
  6 42 -1.32317
  7 42 -1.34267
  8 42 -0.495355
  9 42 -0.658524
  10 42 -0.900245
  11 42 -2.68086
  12 42 -1.89259
  13 42 1.89086
  14 42 -1.00743
  15 42 0.288795
  16 42 0.934035
  17 42 -0.707832
  18 42 -1.8137
  19 42 -1.04291
  20 42 2.13209
1800 20 840
  1 42 2.0691
  2 42 1.48867
  3 42 -0.439609
  4 42 0.0475955
  5 42 -0.361856
  6 42 -0.531015
  7 42 -0.357697
  8 42 -2.48314
  9 42 -0.801432
  10 42 0.91465
  11 42 -0.0908252
  12 42 -2.35226
  13 42 -0.219108
  14 42 -0.915357
  15 42 -0.674616
  16 42 -0.691957
  17 42 -1.47805
  18 42 1.56874
  19 42 -0.149888
  20 42 -1.06032
1900 20 840
  1 42 0.0024389
  2 42 -0.732952
  3 42 -1.63382
  4 42 0.1474
  5 42 0.199669
  6 42 -0.0242666
  7 42 0.619752
  8 42 -1.4877
  9 42 -1.63956
  10 42 -1.19232
  11 42 1.19603
  12 42 0.381661
  13 42 -2.0582
  14 42 0.497825
  15 42 -1.53028
  16 42 0.280718
  17 42 0.966167
  18 42 0.874047
  19 42 -0.888983
  20 42 0.98376
2000 20 840
  1 42 -2.64164
  2 42 -1.63285
  3 42 -1.00008
  4 42 -0.151357
  5 42 1.52679
  6 42 -1.10768
  7 42 1.81971
  8 42 -0.879201
  9 42 -3.03989
  10 42 1.03483
  11 42 0.0594404
  12 42 0.993092
  13 42 -0.830155
  14 42 -0.371
  15 42 1.2877
  16 42 1.70752
  17 42 -0.523888
  18 42 -0.718719
  19 42 -0.699253
  20 42 0.878577
2100 20 840
  1 42 -1.65799
  2 42 0.530298
  3 42 2.62932
  4 42 -1.83236
  5 42 0.0126093
  6 42 -0.701865
  7 42 2.29456
  8 42 -1.46879
  9 42 -1.51138
  10 42 0.321826
  11 42 -0.0145197
  12 42 2.4779
  13 42 0.776115
  14 42 0.21883
  15 42 -0.676364
  16 42 -0.556846
  17 42 1.54208
  18 42 -2.39014
  19 42 1.63601
  20 42 -0.960668
2200 20 840
  1 42 0.836381
  2 42 -1.71773
  3 42 0.345112
  4 42 -0.156483
  5 42 0.536076
  6 42 -1.29365
  7 42 -0.436231
  8 42 -1.17782
  9 42 4.50796
  10 42 1.01962
  11 42 2.33332
  12 42 0.882555
  13 42 -0.665554
  14 42 1.31668
  15 42 0.0425208
  16 42 -0.25835
  17 42 0.451864
  18 42 0.0483276
  19 42 0.239538
  20 42 0.104557
2300 20 840
  1 42 1.38485
  2 42 -0.336269
  3 42 0.743079
  4 42 1.14672
  5 42 1.76152
  6 42 -0.457779
  7 42 -1.21363
  8 42 -0.735358
  9 42 -0.0398114
  10 42 -1.59847
  11 42 -1.18346
  12 42 -0.369273
  13 42 -0.579554
  14 42 -0.831886
  15 42 0.527558
  16 42 -0.608754
  17 42 -0.581927
  18 42 0.258142
  19 42 -2.07401
  20 42 3.45544
2400 20 840
  1 42 0.573223
  2 42 1.4961
  3 42 -0.737169
  4 42 1.37236
  5 42 -0.652918
  6 42 1.47287
  7 42 -0.168244
  8 42 -0.101649
  9 42 -1.41215
  10 42 -2.26295
  11 42 3.46503
  12 42 1.80363
  13 42 -1.47936
  14 42 -0.303396
  15 42 0.586783
  16 42 -1.89231
  17 42 1.01131
  18 42 2.18423
  19 42 -2.51243
  20 42 -0.400581
2500 20 840
  1 42 -1.06393
  2 42 1.27764
  3 42 1.28909
  4 42 -1.14865
  5 42 -1.00675
  6 42 -0.403992
  7 42 0.0479639
  8 42 -0.900323
  9 42 -2.29654
  10 42 2.35462
  11 42 -1.34933
  12 42 0.802273
  13 42 -3.27158
  14 42 -0.347109
  15 42 1.36681
  16 42 -0.638505
  17 42 -0.383982
  18 42 -2.81075
  19 42 -0.665794
  20 42 -0.162825
2600 20 840
  1 42 -0.248183
  2 42 -0.806657
  3 42 2.42059
  4 42 -0.273434
  5 42 1.26262
  6 42 -1.62067
  7 42 -0.0290686
  8 42 0.558471
  9 42 -1.02116
  10 42 1.08037
  11 42 0.657726
  12 42 -0.624522
  13 42 -2.02951
  14 42 1.06989
  15 42 2.66428
  16 42 1.82443
  17 42 -1.28498
  18 42 -2.63598
  19 42 -2.00316
  20 42 -0.496067
2700 20 840
  1 42 -0.613529
  2 42 -0.263648
  3 42 -1.7151
  4 42 -1.42667
  5 42 0.448104
  6 42 0.345099
