# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  5 32 -0.264133
  6 32 -0.222729
  7 32 0.910515
  8 32 -1.6668
  9 32 -0.525514
  10 32 0.412566
  11 32 0.864417
  12 32 -0.15952
  13 32 -0.0375573
  14 32 1.27238
  15 32 0.475543
  16 32 1.11795
  17 32 -0.730714
  18 32 0.104489
  19 32 0.750834
  20 32 -1.16794
1500 20 640
  1 32 1.21396
  2 32 0.343463
  3 32 1.37992
  4 32 3.17658
  5 32 -1.08724
  6 32 -0.628991
  7 32 1.98359
  8 32 -2.28861
  9 32 -1.02271
  10 32 0.6657
  11 32 0.869896
  12 32 -0.104527
  13 32 -1.06612
  14 32 1.61697
  15 32 0.156508
  16 32 2.29674
  17 32 -1.07436
  18 32 -0.564393
  19 32 1.19154
  20 32 -2.24443
1600 20 640
  1 32 1.02393
  2 32 -0.00547777
  3 32 1.135
  4 32 3.94546
  5 32 -1.68179
  6 32 -0.911159
  7 32 1.99466
  8 32 -2.26358
  9 32 -1.57948
  10 32 0.612332
  11 32 0.609068
  12 32 -0.229358
  13 32 -1.40967
  14 32 1.63713
  15 32 0.110591
  16 32 2.93293
  17 32 -1.49147
  18 32 -1.00423
  19 32 1.36764
  20 32 -2.25801
1700 20 640
  1 32 0.876552
  2 32 -0.135256
  3 32 1.02961
  4 32 4.22446
  5 32 -1.90909
  6 32 -0.743994
  7 32 1.75434
  8 32 -1.93238
  9 32 -1.58125
  10 32 0.583832
  11 32 0.604377
  12 32 -0.275303
  13 32 -1.34211
  14 32 1.21704
  15 32 0.123976
  16 32 3.57641
  17 32 -1.56958
  18 32 -1.41718
  19 32 0.989217
  20 32 -1.91061
1800 20 640
  1 32 0.919964
  2 32 0.0177769
  3 32 0.563924
  4 32 3.45719
  5 32 -1.79308
  6 32 -0.378581
  7 32 0.894662
  8 32 -1.36312
  9 32 -1.18023
  10 32 0.290458
  11 32 0.465934
  12 32 -0.279189
  13 32 -1.29745
  14 32 0.845659
  15 32 -0.117366
  16 32 3.21676
  17 32 -1.37979
  18 32 -1.05101
  19 32 0.530616
  20 32 -1.68469
